Ref,Val,Package,PosX,PosY,Rot,Side
"D240","~","LED-WS2812B-2020",82.000000,-93.500000,0.000000,top
"D241","~","LED-WS2812B-2020",85.000000,-93.500000,0.000000,top
"D242","~","LED-WS2812B-2020",85.000000,-96.500000,180.000000,top
"D243","~","LED-WS2812B-2020",82.000000,-96.500000,180.000000,top
"D244","~","LED-WS2812B-2020",79.000000,-96.500000,180.000000,top
"D245","~","LED-WS2812B-2020",76.000000,-96.500000,180.000000,top
"D246","~","LED-WS2812B-2020",73.000000,-96.500000,180.000000,top
"D247","~","LED-WS2812B-2020",70.000000,-96.500000,180.000000,top
"D248","~","LED-WS2812B-2020",67.000000,-96.500000,180.000000,top
"D249","~","LED-WS2812B-2020",64.000000,-96.500000,180.000000,top
"D250","~","LED-WS2812B-2020",61.000000,-96.500000,180.000000,top
"D251","~","LED-WS2812B-2020",58.000000,-96.500000,180.000000,top
"D252","~","LED-WS2812B-2020",55.000000,-96.500000,180.000000,top
"D253","~","LED-WS2812B-2020",52.000000,-96.500000,180.000000,top
"D254","~","LED-WS2812B-2020",49.000000,-96.500000,180.000000,top
"D255","~","LED-WS2812B-2020",46.000000,-96.500000,180.000000,top
"D256","~","LED-WS2812B-2020",43.000000,-96.500000,180.000000,top
"D257","~","LED-WS2812B-2020",40.000000,-96.500000,180.000000,top
